index,response,tag
0,"Hey there, what do you need?",0
1,"Hello, and welcome!",0
2,"Hi there, what can I do for you?",0
3,"Hi there, how can I help?",0
4,"Hello there, feel free to ask me questions!",0
5,"See you later, thanks for visiting",1
6,Have a nice day,1
7,Bye! Come back again soon.,1
8,Happy to help!,2
9,Any time!,2
10,My pleasure,2
11,No worrings,2
12,Glad I was able to help you.,2
13,I am a chatbot called Admission ChatBUt: Your Admission Guide.,3
14,Hey there! This is a web application that aids students in there admission for Bicol University.,3
15,"Hello, I am Admission ChatBUt!",3
16,Why did the hipster burn his mouth? He drank the coffee before it was cool.,4
17,What did the buffalo say when his son left for college? Bison.,4
18,Begin your application journey by browsing: https://buao.bicol-u.edu.ph,5
19,Gain access to the application portal by clicking: https://buao.bicol-u.edu.ph,5
20,Take the first step in your application by navigating to: https://buao.bicol-u.edu.ph,5
21,Apply easily by clicking: https://buao.bicol-u.edu.ph,5
22,Access the application link via direct browsing: https://buao.bicol-u.edu.ph,5
23,Apply now by going to: https://buao.bicol-u.edu.ph,5
24,Initiate your application process by clicking: https://buao.bicol-u.edu.ph,5
25,Access the application form by visiting: https://buao.bicol-u.edu.ph,5
26,Begin your application journey by accessing: https://buao.bicol-u.edu.ph,5
27,Start your application journey by visiting: https://buao.bicol-u.edu.ph,5
28,Apply conveniently by browsing: https://buao.bicol-u.edu.ph,5
29,Take the initiative to apply by clicking: https://buao.bicol-u.edu.ph,5
30,Begin your application process by navigating to: https://buao.bicol-u.edu.ph,5
31,Access the application portal by opening: https://buao.bicol-u.edu.ph,5
32,Start your application journey by clicking: https://buao.bicol-u.edu.ph,5
33,Begin your application process by visiting: https://buao.bicol-u.edu.ph,5
34,Apply now by browsing: https://buao.bicol-u.edu.ph,5
35,Gain access to the application portal by navigating to: https://buao.bicol-u.edu.ph,5
36,Initiate your application by clicking: https://buao.bicol-u.edu.ph,5
37,Access the application form easily via direct visit: https://buao.bicol-u.edu.ph,5
38,Apply now by accessing: https://buao.bicol-u.edu.ph,5
39,"To change your appointment date, simply click on the link provided: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php",6
40,Rescheduling made simple: access the link here: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
41,"If you need to reschedule your appointment date, visit: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php",6
42,You can change your appointment date by navigating to: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
43,Want to change the date? Click here: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
44,Adjust your appointment date by following this link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
